name,source,gender,wikidata,type
"Avenue Reine Astrid",wikidata,F,Q230238,way
"Chaussée Brunehault",wikidata,F,Q230639,way
"Clos Reine Astrid",wikidata,F,Q230238,way
"Place Reine Astrid",wikidata,F,Q230238,way
"Avenue Georges Truffaut",wikidata,M,Q3103569,way
"Boulevard Frère-Orban",wikidata,M,Q705791,way
"Place Communale",wikidata,M,Q261978,way
"Place Louis de Geer",wikidata,M,Q1871628,way
"Quai Orban",wikidata,M,Q705791,way
"Quai Paul van Hoegaerden",wikidata,M,Q705791,way
"Quai de Rome",wikidata,M,Q705791,way
"Rue Henri Orban",wikidata,M,Q1917874,way
"Rue Henri de Louvain",wikidata,M,Q261978,way
"Rue Martin Luther King",wikidata,M,Q8027,way
"Rue Winston Churchill",wikidata,M,Q8016,way
